HMC,312.9,14.90,10050,1.02 %,0.76
SGN,2340.6,69.70,5260,1.02 %,0.35
TGG,28.1,1.03,71970,0.98 %,0.30
VIC,361243.6,106.80,569360,0.95 %,0.66
SC5,279.5,18.65,0,0.81 %,0
NCT,1857.9,71.00,30560,0.71 %,1.14
PXT,28.6,1.43,18710,0.70 %,0.43
AGG,2433.5,29.50,1074350,0.68 %,1.06
SII,1129.1,17.50,1470,0.57 %,2.91
GAB,2671.7,193.60,3210,0.41 %,0.30
TBC,1565.3,24.65,5250,0.41 %,0.44
DVP,1846,46.15,122590,0.33 %,2.35
CSM,1683.9,16.25,42210,0.31 %,0.80
FUE,135.9,11.82,162710,0.00 %,0.55
ACL,642,12.80,56390,0.00 %,0.93
ACB,60955.9,28.20,4459820,0.00 %,0.35
MDG,122,11.20,0,0.00 %,0
CLW,331.5,25.50,10,0.00 %,5.75
FCM,246,6.00,7140,0.00 %,1.15
CHP,2879.5,19.60,12150,-0.25 %,0.51
SMA,161.7,8.50,450,-0.35 %,0.29
BTP,843.8,13.95,6890,-0.36 %,0.64
TNA,532.4,13.40,183980,-0.37 %,0.54
SRF,428.9,13.20,1420,-0.38 %,0.54
VNS,743.1,10.95,430,-0.45 %,0.11
TMP,2947,42.10,860,-0.47 %,0.48
DPR,1945.8,45.25,48610,-0.55 %,0.78
VPI,6630,33.15,707240,-0.60 %,0.54
AGM,223.9,12.30,16130,-0.81 %,0.83
EIB,21127.4,17.10,180340,-0.87 %,0.62
BFC,911.8,15.95,430540,-0.93 %,1.04
PJT,159.7,10.40,4960,-0.95 %,1.14
CMG,3285,32.85,36270,-1.05 %,0.55
PGC,1318.5,21.85,49650,-1.13 %,0.99
RIC,124.9,4.35,2010,-1.14 %,0.58
VNL,151.2,16.80,3210,-1.18 %,0.75
THG,805.8,55.50,2950,-1.25 %,0.20
DTL,367.4,5.98,10,-1.48 %,0.48
SAM,2526.6,9.85,51360,-1.50 %,0.69
YEG,1398.2,44.70,20590,-1.54 %,0.68
HU3,70,7.00,260,-1.69 %,0.42
SSC,749.6,50.00,0,-1.77 %,0
VPD,1524.2,14.30,9760,-1.95 %,0.98
APG,339.9,9.99,927190,-2.06 %,1.03
